Launch Date,Recalls Number,Make,Recalls Model Information,Concern,Defect,Remedy,Vehicle Numbers,Manufacturer Ref,Model,VIN Start,VIN End,Build Start,Build End
21/05/2010,R/2010/140,LAMBORGHINI,Murcielago Coupe and Roadster,FUEL MAY LEAK,It is possible  due to fuel surge and vehicle vibration  that the spot welds on the fuel pump support bracket within the fuel tank may fail. This can result in a small fuel leak onto the floor and if an external heat source is present  then this could result in a fire.,Recall affected vehicles and replace the fuel tank.,68,,Murcielago Coupe,ZHWBE16S07LA01805,ZHWBE37S08LA03235,30/09/2005,14/04/2008
15/04/2002,R/2002/079,FIAT,DUCATO,HANDBRAKE CONCERN,The handbrake cable may have been incorrectly fitted and could become disconnected from the rear brake mechanism.  This would result in the handbrake becoming ineffective.,Check that the handbrake cable is correctly connected to the rear brake mechanism and fit a new cable where it is not.,186,4446,DUCATO,ZFA24400006194400,ZFA24400006227275,,
17/11/2008,RM/2008/048,BMW MOTORCYCLES,R1200GS & GS Adventure,FLUID LEAK MAY RESULT IN BRAKE FAILURE,It has been identified that vibration can cause the flaring of the front brake pipe to crack resulting in a brake fluid leak. If allowed to continue un-rectified front brake failure may result.,Recalled machines will have the subject brake pipe replaced.,782,,R1200GS,,,,
16/07/2010,RM/2010/015,KAWASAKI,EX650C9f  EX650D9f  EX650DAF & EX650CAF,LOWER COWLING MAY IMPEDE BRAKING,The foot may be impeded when operating the rear brake operating lever effectively by the top edge of the lower cowling. This could cause longer than expected stopping distances.,Recall the machines that are likely to be affected to replace the right hand foot guard and lower cowling bracket.,1613,DAC89,EX650,JKAEX650CCDA47198,JKAEX650CCDA61185,,
16/07/2010,RM/2010/015,KAWASAKI,EX650C9f  EX650D9f  EX650DAF & EX650CAF,LOWER COWLING MAY IMPEDE BRAKING,The foot may be impeded when operating the rear brake operating lever effectively by the top edge of the lower cowling. This could cause longer than expected stopping distances.,Recall the machines that are likely to be affected to replace the right hand foot guard and lower cowling bracket.,1613,DAC89,EX650,JKAEX650CCDA21538,JKAEX650CCDA46986,,
16/07/2010,RM/2010/015,KAWASAKI,EX650C9f  EX650D9f  EX650DAF & EX650CAF,LOWER COWLING MAY IMPEDE BRAKING,The foot may be impeded when operating the rear brake operating lever effectively by the top edge of the lower cowling. This could cause longer than expected stopping distances.,Recall the machines that are likely to be affected to replace the right hand foot guard and lower cowling bracket.,1613,DAC89,EX650,JKAEX650CDDA44655,JKAEX650CDDA61206,,
16/07/2010,RM/2010/015,KAWASAKI,EX650C9f  EX650D9f  EX650DAF & EX650CAF,LOWER COWLING MAY IMPEDE BRAKING,The foot may be impeded when operating the rear brake operating lever effectively by the top edge of the lower cowling. This could cause longer than expected stopping distances.,Recall the machines that are likely to be affected to replace the right hand foot guard and lower cowling bracket.,1613,DAC89,EX650,KJAEX650CDDA23433,JKAEX650CDDA46644,,
23/11/2004,R/2004/140,SUZUKI,Wagon R (SR410 and SR412),THE GEARSHIFT CABLE MAY BREAK WHILST IN SERVICE,The manual transmission gearshift control cable may break due to a lack of maximum strength and durability. This will result in the inability of the driver to either select or de-select the gears.,Recall likely to be affected vehicles and replace the gearshift cable.,4532,r/04/11,WAGON R+,JSAEMA61S00200039,JSAEMA61S00301513,01/08/1998,01/08/1999
30/10/2017,R/2017/275,MITSUBISHI,Shogun - V88 (SWB)  V98 (LWB) (M/T&A/T) ,PROPELLANT IN THE DRIVER AND PASSENGER SIDE AIRBAG INFLATORS MAY HAVE DETERIORATED,The propellant (ammonium nitrate) in the inflator of the drivers and passengers front airbag inflator may deteriorate due to high temperature and humid conditions over a longer period in use. As a result the inflator body may rupture during airbag deployment in the event of an accident where the airbags are required to be deployed. The inflator body may rupture during airbag deployment with the potential to cause injury.,Replacement of the driver and passenger front airbag inflators.,34120,R3030710 / R3033431,SHOGUN (SWB),JMAMNV88W7J000293,JMAMYV88WCJ400209,29/09/2006,28/06/2012
30/10/2017,R/2017/275,MITSUBISHI,Shogun - V88 (SWB)  V98 (LWB) (M/T&A/T) ,PROPELLANT IN THE DRIVER AND PASSENGER SIDE AIRBAG INFLATORS MAY HAVE DETERIORATED,The propellant (ammonium nitrate) in the inflator of the drivers and passengers front airbag inflator may deteriorate due to high temperature and humid conditions over a longer period in use. As a result the inflator body may rupture during airbag deployment in the event of an accident where the airbags are required to be deployed. The inflator body may rupture during airbag deployment with the potential to cause injury.,Replacement of the driver and passenger front airbag inflators.,34120,R3030710 / R3033431,SHOGUN (LWB),JMALNV98W7J000201,JMALYV98WCJ400827,29/09/2006,28/06/2012
01/11/2010,R/2010/167,RENAULT,Master,REAR AXLE MAY FAIL,There is a risk that the nearside rear axle spindle may crack  which in the most serious cases will lead to the spindle breaking which  dependent on loading  could make directional control difficult to maintain.,Recall the vehicles that are likely to be affected to change the rear axle.,228,ob9t,MASTER,,,01/04/2010,16/04/2010
18/11/2013,RM/2013/031,YAMAHA,YZF-R1,ENGINE IDLE SPEED MAY NOT RETURN TO NORMAL,Under certain circumstances a poor connection between APS and TPS may cause an incorrect signal to the ECU which in extreme cases may result in the engine idle speed not returning to the specified level  even when the throttle is closed.,Recall the vehicles that are likely to be affected to add a sub-lead to bypass the potentially poor connection.,139,,YZF-R1,RN221-0007553,RN221-0008060,01/01/2010,31/12/2010
15/03/2000,RM/2000/010,YAMAHA,YZF-R1 and YZF-R6,SIDE STAND SWITCH MAY NOT FUNCTION CORRECTLY,There is a possibility that the screws holding the side stand switch may vibrate loose and eventually fall out. The switch would not then function correctly and it may be possible to start the engine and ride the machine with the side stand down.,Recall affected machines to replace screws holding the side stand switch with a combination of bolts and nuts.,14885,,YZF-R6,RJ031-0000301 to RJ031-0029567 (UK Spec),,01/01/1998,31/12/2000
15/03/2000,RM/2000/010,YAMAHA,YZF-R1 and YZF-R6,SIDE STAND SWITCH MAY NOT FUNCTION CORRECTLY,There is a possibility that the screws holding the side stand switch may vibrate loose and eventually fall out. The switch would not then function correctly and it may be possible to start the engine and ride the machine with the side stand down.,Recall affected machines to replace screws holding the side stand switch with a combination of bolts and nuts.,14885,,YZF-R1,RN011-0000301 to RN011-0027648 (UK Spec),,01/01/1998,31/12/2000
26/10/2015,R/2015/197,BENTLEY MOTOR CARS,Continental GT  GTC & Flying Spur,RISK OF FIRE,There is a possibility that the bolted connection of the battery cable where it passes through the bulkhead may be loose on a small number of vehicles.  In most instances  the customer is unable to start the engine.  However  in very rare cases  if the battery is significantly discharged and the vehicle is being operated under increased electrical load  a loose electrical connection can overheat whilst the vehicle is in use. If the above circumstances occur  in very rare cases  there could be a fire.,Recall the vehicles that are likely to be affected and replace the original nut with a prevailing torque nut and tightened to the correct torque.,3642,RE15/15,FLYING SPUR,SCBFH63W4CC067356,SCBGE23W4FC041768,01/02/2011,14/06/2014
26/10/2015,R/2015/197,BENTLEY MOTOR CARS,Continental GT  GTC & Flying Spur,RISK OF FIRE,There is a possibility that the bolted connection of the battery cable where it passes through the bulkhead may be loose on a small number of vehicles.  In most instances  the customer is unable to start the engine.  However  in very rare cases  if the battery is significantly discharged and the vehicle is being operated under increased electrical load  a loose electrical connection can overheat whilst the vehicle is in use. If the above circumstances occur  in very rare cases  there could be a fire.,Recall the vehicles that are likely to be affected and replace the original nut with a prevailing torque nut and tightened to the correct torque.,3642,RE15/15,CONTINENTAL GT,SCBFH63W4CC067356,SCBGE23W4FC041768,01/02/2011,14/06/2014
26/10/2015,R/2015/197,BENTLEY MOTOR CARS,Continental GT  GTC & Flying Spur,RISK OF FIRE,There is a possibility that the bolted connection of the battery cable where it passes through the bulkhead may be loose on a small number of vehicles.  In most instances  the customer is unable to start the engine.  However  in very rare cases  if the battery is significantly discharged and the vehicle is being operated under increased electrical load  a loose electrical connection can overheat whilst the vehicle is in use. If the above circumstances occur  in very rare cases  there could be a fire.,Recall the vehicles that are likely to be affected and replace the original nut with a prevailing torque nut and tightened to the correct torque.,3642,RE15/15,CONTINENTAL GTC,SCBFH63W4CC067356,SCBGE23W4FC041768,01/02/2011,14/06/2014
22/02/2017,R/2017/061,PEUGEOT,Traveller and Expert,UNEXPECTED AIRBAG DEPLOYMENT,On the affected vehicles  a possible nonconformity of certain seals on the vehicle's body could lead to water ingress in the passenger compartment. This may affect the operation of the passenger air bag. Unintended deployment is possible.,On affected vehicles add extra sealant and replace wet or water damaged components.,1312,HQA,EXPERT,VF3******GZ023615,VF3******GZ067011,15/10/2015,27/10/2016
22/02/2017,R/2017/061,PEUGEOT,Traveller and Expert,UNEXPECTED AIRBAG DEPLOYMENT,On the affected vehicles  a possible nonconformity of certain seals on the vehicle's body could lead to water ingress in the passenger compartment. This may affect the operation of the passenger air bag. Unintended deployment is possible.,On affected vehicles add extra sealant and replace wet or water damaged components.,1312,HQA,TRAVELLER,VF3******GZ023615,VF3******GZ067011,15/10/2015,27/10/2016
18/10/2002,RPT/2002/001,IFOR WILLIAMS,TA5G & TA510G,SHARP EDGE ON LOADING RAMP,There is a sharp edge on the rear loading ramp  which  under certain conditions  could injure an animal if it should slip.,Fit a protective cover strip to the exposed sharp edge.,2206,,TA510G,,,27/03/2001,29/05/2002
18/10/2002,RPT/2002/001,IFOR WILLIAMS,TA5G & TA510G,SHARP EDGE ON LOADING RAMP,There is a sharp edge on the rear loading ramp  which  under certain conditions  could injure an animal if it should slip.,Fit a protective cover strip to the exposed sharp edge.,2206,,TA5G,,,27/03/2001,29/05/2002
29/12/2014,R/2015/001,VW,Crafter,GEARBOX PROP SHAFT MAY DETACH,The balance weight on the prop shaft may detach. This can lead to the prop shaft becoming insecure and in extreme cases where the concern is not rectified  the prop shaft can detach. This will lead to significant damage to the vehicle and increase the risk of a collision.,Recall the vehicles that are likely to be affected to replaced the balance weight on the prop shaft.,994,39E4,CRAFTER,WV1ZZZ2EZC6011992,WV1ZZZ2FZC7003284,01/08/2011,01/06/2013
29/12/2014,R/2015/001,VW,Crafter,GEARBOX PROP SHAFT MAY DETACH,The balance weight on the prop shaft may detach. This can lead to the prop shaft becoming insecure and in extreme cases where the concern is not rectified  the prop shaft can detach. This will lead to significant damage to the vehicle and increase the risk of a collision.,Recall the vehicles that are likely to be affected to replaced the balance weight on the prop shaft.,994,39E4,CRAFTER,WV1ZZZ2FZC7003284,WV1ZZZ2FZD7007485,01/08/2011,01/06/2013
02/03/2012,RM/2012/003,KAWASAKI,ZX10 (ZXT00E8/E9  ZXT00FA/FB)   & ZX6 (ZX600R9/RA/RB/RC),ENGINE MAY STALL,It is possible for the regulator circuit board to get too hot which will lead to uncontrolled charging current output. This can cause discharge of the battery which may result in difficult starting  or in some circumstances  engine stall while riding creating the potential for an accident.,Recall the machines which are likely to be affected to replace the regulator.,3656,DAA921A,ZX-6,JKAZX600RRA000022,JKAZX600RRA033748,,
02/03/2012,RM/2012/003,KAWASAKI,ZX10 (ZXT00E8/E9  ZXT00FA/FB)   & ZX6 (ZX600R9/RA/RB/RC),ENGINE MAY STALL,It is possible for the regulator circuit board to get too hot which will lead to uncontrolled charging current output. This can cause discharge of the battery which may result in difficult starting  or in some circumstances  engine stall while riding creating the potential for an accident.,Recall the machines which are likely to be affected to replace the regulator.,3656,DAA921A,ZX-10,JKAZXT00EEA000006,JKAZXT00EEA025541,,
02/03/2012,RM/2012/003,KAWASAKI,ZX10 (ZXT00E8/E9  ZXT00FA/FB)   & ZX6 (ZX600R9/RA/RB/RC),ENGINE MAY STALL,It is possible for the regulator circuit board to get too hot which will lead to uncontrolled charging current output. This can cause discharge of the battery which may result in difficult starting  or in some circumstances  engine stall while riding creating the potential for an accident.,Recall the machines which are likely to be affected to replace the regulator.,3656,DAA921A,ZX-10,JKAZT00FFA000004,JKAZXT00FFA003284,,
09/01/2006,R/2005/149,SUZUKI,Grand Vitara,RISK OF FIRE,There is a risk of damage (shorting) between the cable connections and glow plugs due to insufficient torque on the connector securing nuts on the relay end posts.,Recall affected vehicles  check the security of the glow plug relay cables and if required  replace the glow plug relay.,5884,0601,VITARA,JSAFTD82V00100030  JSAFTD83V00100027  JSAFTB83V00100015  JSAHTX83V00200033  JSAHTX83V00300002,JSAFTD82V00130521  JSAFTD83V00112033  JSAFTB83V00201418  JSAHTX83V00201418  JSAHTX83V00303065,22/09/2000,25/02/2004
23/03/2015,R/2015/020,RENAULT,Trafic Van,BRAKE PEDAL MAY LOOSEN,It is possible for the servo mounting bolts to loosen. If the noises are ignored  over time  it is possible for the brakes to be compromised.,Recall the vehicles that are likely to be affected and replace the brake pedal/servo mounting nuts.,622,OBYU (a),TRAFIC,VF11FL10250257069,VF14FL00351759546,06/03/2014,25/11/2014
08/01/2016,R/2015/232,MERCEDES BENZ,S-Class & S Class coupe,AUTO STOP/START MAY SHUTDOWN WITHOUT WARNING,Incorrect software may have been installed during manufacture. This may cause erratic idling when coming to a halt and the engine may shut down. Consequently the auto start/stop may not operate as intended.,On affected vehicles update the powertrain control software.,330,SRPC1602,S CLASS,WDD2221772A004807,WDD2221781A183877,14/08/2013,29/10/2015
08/01/2016,R/2015/232,MERCEDES BENZ,S-Class & S Class coupe,AUTO STOP/START MAY SHUTDOWN WITHOUT WARNING,Incorrect software may have been installed during manufacture. This may cause erratic idling when coming to a halt and the engine may shut down. Consequently the auto start/stop may not operate as intended.,On affected vehicles update the powertrain control software.,330,SRPC1602,S CLASS,WDD2173772A000370,WDD2173781A010907,08/05/2014,10/11/2015
16/01/2015,R/2015/008,FORD,Fiesta,REAR SEAT BELT BUCKLE LATCH MAY FAIL,The rear seat belt buckle (catch) could be defective. In the event of a frontal impact a defective buckle could fail causing the rear seat occupant to be unrestrained by the seat belt.,Recall the vehicles that are likely to be affected to check the rear seat belt buckles and if found to be part of the defective batch  new buckles will be fitted.,9257,4U626,FIESTA,,,23/09/2014,11/11/2014
07/07/2005,RM/2005/017,BMW MOTORCYCLES,K1200R AND K1200S,ABS FUNCTION MAY FAIL,There is a possibility of the ABS sensor cable sagging into a loop in the vicinity of the front brake left caliper following disassembly work i.e. a tyre change. This can result in the sensor cable chafing against the brake disc  with the result that the ABS function can fail. ,Recalled machines will be fitted with an additional sensor cable retaining clip.,302,,K SERIES,ZN000000000010024,ZN000000000010497,,
07/07/2005,RM/2005/017,BMW MOTORCYCLES,K1200R AND K1200S,ABS FUNCTION MAY FAIL,There is a possibility of the ABS sensor cable sagging into a loop in the vicinity of the front brake left caliper following disassembly work i.e. a tyre change. This can result in the sensor cable chafing against the brake disc  with the result that the ABS function can fail. ,Recalled machines will be fitted with an additional sensor cable retaining clip.,302,,K SERIES,ZL000000000090094,ZN0000000000097934,,
28/11/2014,R/2014/129,MITSUBISHI,Outlander  &ASX,BRAKE PEDAL FAILS TO RELEASE,Due to incorrect installation of the switch sleeve in the brake booster  the switch sleeve may be cracked. As a result the tip of the switch sleeve could break off causing the brake pedal not to release  with the effect of the vehicle being unable to restart/move/pull away.,Recall the vehicles that are likely to be affected to check the production date of the brake booster. Replace the brake booster if it is of the affected production dates.,4333,,OUTLANDER,JMAXMCW7WBF001453,JMAXMCW7WCF012037,31/08/2010,04/07/2012
28/11/2014,R/2014/129,MITSUBISHI,Outlander  &ASX,BRAKE PEDAL FAILS TO RELEASE,Due to incorrect installation of the switch sleeve in the brake booster  the switch sleeve may be cracked. As a result the tip of the switch sleeve could break off causing the brake pedal not to release  with the effect of the vehicle being unable to restart/move/pull away.,Recall the vehicles that are likely to be affected to check the production date of the brake booster. Replace the brake booster if it is of the affected production dates.,4333,,OUTLANDER,JMAXJCW1WBF000560,JMAXJCW1WCF012048,20/08/2010,10/07/2012
28/11/2014,R/2014/129,MITSUBISHI,Outlander  &ASX,BRAKE PEDAL FAILS TO RELEASE,Due to incorrect installation of the switch sleeve in the brake booster  the switch sleeve may be cracked. As a result the tip of the switch sleeve could break off causing the brake pedal not to release  with the effect of the vehicle being unable to restart/move/pull away.,Recall the vehicles that are likely to be affected to check the production date of the brake booster. Replace the brake booster if it is of the affected production dates.,4333,,ASX,JMAXJGA6WBZ400101,JMAXJGA6WBZ400380,06/04/2010,19/04/2010
16/06/2005,R/2005/067,IVECO,EUROTRAKKER AND STRALIS,TRACK AND DROP ARM RETAINING BOLTS MAY BE INCORRECTLY TIGHTENED,The retaining bolts of the drop arm and track arms may not have been tightened to the correct torque. With the possibility that the bolts may become loose.,Recalled vehicles will have the subject bolts tightened to the correct torque.,68,,STRALIS,WJME2NSJ004286634,WJMM1VUJ004291516,13/10/2004,27/12/2004
16/06/2005,R/2005/067,IVECO,EUROTRAKKER AND STRALIS,TRACK AND DROP ARM RETAINING BOLTS MAY BE INCORRECTLY TIGHTENED,The retaining bolts of the drop arm and track arms may not have been tightened to the correct torque. With the possibility that the bolts may become loose.,Recalled vehicles will have the subject bolts tightened to the correct torque.,68,,EUROTREKKER,WJME2NSJ004286634,WJMM1VUJ004291516,13/10/2004,27/12/2004
02/06/2006,R/2006/094,MAN,L2000-TGL & F2000 TGA Specialized Vehicles,STEERING MAY FAIL,It has been identified that the connection between the steering shaft and the fork on the steering propshaft may work loose. This if ignored has the potential to cause the steering to fail.,Subject vehicle will have the steering shafts checked and replaced as necessary.,1638,185004en,TG-A,,,01/01/2004,17/05/2006
02/06/2006,R/2006/094,MAN,L2000-TGL & F2000 TGA Specialized Vehicles,STEERING MAY FAIL,It has been identified that the connection between the steering shaft and the fork on the steering propshaft may work loose. This if ignored has the potential to cause the steering to fail.,Subject vehicle will have the steering shafts checked and replaced as necessary.,1638,185004en,L2000,,,01/01/2004,17/05/2006
02/06/2006,R/2006/094,MAN,L2000-TGL & F2000 TGA Specialized Vehicles,STEERING MAY FAIL,It has been identified that the connection between the steering shaft and the fork on the steering propshaft may work loose. This if ignored has the potential to cause the steering to fail.,Subject vehicle will have the steering shafts checked and replaced as necessary.,1638,185004en,F2000,,,01/01/2004,17/05/2006
02/06/2006,R/2006/094,MAN,L2000-TGL & F2000 TGA Specialized Vehicles,STEERING MAY FAIL,It has been identified that the connection between the steering shaft and the fork on the steering propshaft may work loose. This if ignored has the potential to cause the steering to fail.,Subject vehicle will have the steering shafts checked and replaced as necessary.,1638,185004en,TGL,,,01/01/2004,17/05/2006
07/10/2014,R/2014/117,PEUGEOT,ION,BRAKING EFFICIENCY MAY BE AFFECTED,The brake servo pump system could develop problems with malfunction indicator lamps and audible warnings accompanied by the vacuum pump stopping. This will require the driver to apply greater force on the brake pedal to stop the vehicle.,Recall the vehicles that are likely to be affected to download the vacuum pump with a new version of the control software.,133,ZSU,iON,VF3******BU800241,VF3******CU801165,20/10/2010,27/07/2011
12/01/2017,R/2016/309,ROLLS ROYCE,Dawn,FRONT MOUNTED SIDE AIRBAG MAY FAIL TO DEPLOY IN A COLLISION,It has been identified by the manufacturer that the air-bag initiator does not meet specification. This can therefore result in the initiator not functioning correctly  which can lead to none deployment of the air-bag. Should a collision occur  then there is an increased risk of injury to the occupants of the vehicle.,Recall all affected vehicles to replace the air-bags with a new quality assured component.,6,00 72 79 01 00,DAWN,SCA666D00HU101198,SCA666D0XHU101211,26/09/2016,27/10/2016
04/10/2007,R/2007/144,PEUGEOT,807  EW10J4,POSSIBILITY OF BRAKE FLUID LEAKAGE.,It has been identified that the heat shield which protects the exhaust system may contact one of the rear brake hoses. In extreme situations  this may cause leakage within a brake circuit  which would be represented by extended brake pedal travel.,Recalled vehicles will be checked for heat shield to brake hose contact  and if necessary the shield will be adjusted. The brake hose will be replaced if rubbing contact has been made.,20,,807  EW10J4,,,,
10/12/2013,R/2013/137,BMW,X3 ,FRONT PASSENGER AIRBAG MAY NOT DEPLOY CORRECTLY,The defect concerns the front passenger air bag. The skin of certain instrument panels was not correctly scored. In case of accident with air bag deployment  the predetermined breaking point will not tear open  resulting in the air bag deploying in the instrument panel. This will lead to insufficient restraint effect and possibly release of parts of the air bag system into the passenger compartment.,Recall the vehicles that are likely to be affected to replace the instrument panel.,4,0051260300,X3,,,,
09/12/2009,R/2009/136,MAN BUS ,A66 & A76,LOSS OF DIRECTIONAL CONTROL,The weld seam of the steering column support bracket may crack leaving the column free to move making it difficult to steer the vehicle.,Recall affected vehicles  check for presence of and fit reinforcement plate if necessary.,136,343304,A SERIES,,,,
20/04/2015,R/2015/066,NISSAN,Micra (K13),UNEXPECTED ACCELERATION MAY OCCUR,The engine ECM unit may have an error with its software. This could  under certain exceptional engine start circumstances  result in the ECM setting an incorrect engine throttle valve position.  When the engine speed is in excess of 3 600 rpm the customer may briefly experience an unexpected acceleration.  However  the driver can counter this by applying the brakes.,Recall all affected vehicles to install new software.,3806,R1507,MICRA,,,25/10/2010,27/02/2015
06/10/2005,R/2005/161,VOLVO TRUCK,FH and FM,RISK OF FIRE,There is a possibility of a thermal malfunction on the fuel filter water separator bowl with the heater. This can result in overheating due to low fuel level in combination with a faulty thermostat in the water separator bowl,Recall affected vehicles  fit heat shield and check/reconnect cable in the electrical connector on the fuel filter/water separator housing,59,C0592,FM,,,,
06/10/2005,R/2005/161,VOLVO TRUCK,FH and FM,RISK OF FIRE,There is a possibility of a thermal malfunction on the fuel filter water separator bowl with the heater. This can result in overheating due to low fuel level in combination with a faulty thermostat in the water separator bowl,Recall affected vehicles  fit heat shield and check/reconnect cable in the electrical connector on the fuel filter/water separator housing,59,C0592,FH,,,,
01/03/2017,RCOMP/2017/002,TENNECO AUTOMOTIVE,Monroe shock absorber and strut fitted to Mercedes A & B class,POOR WELDING CAUSING FOOT BRACKET TO BREAK ,It has been established that the welding on the foot bracket of the shock absorber is not to specification. This can result in the failure/detachment of the foot bracket  which could cause loss of control of the vehicle.,Recall all affected vehicles to check the shock absorber and if found to be one of the affected unit  then replace the unit with a quality assured item.,2,,Monroe Shock absorder/ Strut,V6A16,V6B16,01/06/2016,10/06/2016
01/03/2017,RCOMP/2017/002,TENNECO AUTOMOTIVE,Monroe shock absorber and strut fitted to Mercedes A & B class,POOR WELDING CAUSING FOOT BRACKET TO BREAK ,It has been established that the welding on the foot bracket of the shock absorber is not to specification. This can result in the failure/detachment of the foot bracket  which could cause loss of control of the vehicle.,Recall all affected vehicles to check the shock absorber and if found to be one of the affected unit  then replace the unit with a quality assured item.,2,,Monroe Shock absorder/ Strut,V6B16,V6B16,01/06/2017,10/06/2017
01/03/2017,RCOMP/2017/002,TENNECO AUTOMOTIVE,Monroe shock absorber and strut fitted to Mercedes A & B class,POOR WELDING CAUSING FOOT BRACKET TO BREAK ,It has been established that the welding on the foot bracket of the shock absorber is not to specification. This can result in the failure/detachment of the foot bracket  which could cause loss of control of the vehicle.,Recall all affected vehicles to check the shock absorber and if found to be one of the affected unit  then replace the unit with a quality assured item.,2,,Monroe Shock absorder/ Strut,P6A16,P6A16,01/06/2017,10/06/2017
01/03/2017,RCOMP/2017/002,TENNECO AUTOMOTIVE,Monroe shock absorber and strut fitted to Mercedes A & B class,POOR WELDING CAUSING FOOT BRACKET TO BREAK ,It has been established that the welding on the foot bracket of the shock absorber is not to specification. This can result in the failure/detachment of the foot bracket  which could cause loss of control of the vehicle.,Recall all affected vehicles to check the shock absorber and if found to be one of the affected unit  then replace the unit with a quality assured item.,2,,Monroe Shock absorder/ Strut,P6B16,P6B16,01/06/2017,10/06/2017
01/03/2017,RCOMP/2017/002,TENNECO AUTOMOTIVE,Monroe shock absorber and strut fitted to Mercedes A & B class,POOR WELDING CAUSING FOOT BRACKET TO BREAK ,It has been established that the welding on the foot bracket of the shock absorber is not to specification. This can result in the failure/detachment of the foot bracket  which could cause loss of control of the vehicle.,Recall all affected vehicles to check the shock absorber and if found to be one of the affected unit  then replace the unit with a quality assured item.,2,,Monroe Shock absorder/ Strut,V6A16,V6A16,01/06/2016,10/06/2016
01/03/2017,RCOMP/2017/002,TENNECO AUTOMOTIVE,Monroe shock absorber and strut fitted to Mercedes A & B class,POOR WELDING CAUSING FOOT BRACKET TO BREAK ,It has been established that the welding on the foot bracket of the shock absorber is not to specification. This can result in the failure/detachment of the foot bracket  which could cause loss of control of the vehicle.,Recall all affected vehicles to check the shock absorber and if found to be one of the affected unit  then replace the unit with a quality assured item.,2,,Monroe Shock absorder/ Strut,V6B16,V616B,01/06/2016,10/06/2016
20/02/2004,R/2004/020,RENAULT,Espace IV - Petrol Version,POSSIBILITY OF EMISSION FROM THE DASHBOARD VENTS INTO THE CABIN,Potential smell and emission of smoke from the dashboard vents,Recall affected vehicles for reprogramming and configuration of the air conditioning software,1040,OAE2,ESPACE,,,01/06/2002,05/11/2003
12/07/2004,RCOMP/2004/003,BELRON,Windscreen and Splintex,THE BOND BETWEEN THE WINDSCREEN AND THE VEHICLE MAY NOT HOLD IN AN ACCIDENT,The bond between the windscreen and the vehicle may not be sufficiently strong to hold the windscreen in place in the event of an accident,Recall affected vehicles and replace screen,275,D2MJH/1689936.01,SPLINTEX,,,10/03/2004,12/07/2004
12/07/2004,RCOMP/2004/003,BELRON,Windscreen and Splintex,THE BOND BETWEEN THE WINDSCREEN AND THE VEHICLE MAY NOT HOLD IN AN ACCIDENT,The bond between the windscreen and the vehicle may not be sufficiently strong to hold the windscreen in place in the event of an accident,Recall affected vehicles and replace screen,275,D2MJH/1689936.01,WINDSCREEN,,,10/03/2004,12/07/2004
28/03/2008,RM/2008/050,BMW MOTORCYCLES,R1200GS  R100R & R1200GS Adventure,GEARBOX MAY FAIL,Loss of drive may occur due to gearbox failure.,Recall the machines that are likely to be affected to replace the gearbox with a quality assured unit.,12,,R1200GS,,,,
28/03/2008,RM/2008/050,BMW MOTORCYCLES,R1200GS  R100R & R1200GS Adventure,GEARBOX MAY FAIL,Loss of drive may occur due to gearbox failure.,Recall the machines that are likely to be affected to replace the gearbox with a quality assured unit.,12,,R1200R,,,,
20/08/2018,R/2018/218,MAN TRUCK,TGA  TGS  TGX,PROPSHAFT MAY FAIL AND FALL OFF VEHICLE.,The propshaft may fail and fall of the vehicle  causing injury and damage to other road users.,The remedy involves installing a prop shaft catcher to prevent failing prop shafts falling off.,390,6115TRC,TGX,WMA18XZZ08W112655,WMA18XZZXGP070214,01/10/2004,18/08/2015
20/08/2018,R/2018/218,MAN TRUCK,TGA  TGS  TGX,PROPSHAFT MAY FAIL AND FALL OFF VEHICLE.,The propshaft may fail and fall of the vehicle  causing injury and damage to other road users.,The remedy involves installing a prop shaft catcher to prevent failing prop shafts falling off.,390,6115TRC,TGA,WMAH17ZZ05W059888,WMAH86ZZ65K001264,01/10/2004,18/08/2015
20/08/2018,R/2018/218,MAN TRUCK,TGA  TGS  TGX,PROPSHAFT MAY FAIL AND FALL OFF VEHICLE.,The propshaft may fail and fall of the vehicle  causing injury and damage to other road users.,The remedy involves installing a prop shaft catcher to prevent failing prop shafts falling off.,390,6115TRC,TGS,WMA18SZZ08W119639,WMA18SZZXFP061739,01/10/2004,18/08/2015
05/06/2013,R/2013/056,HYUNDAI,Accent MC  Tucson JM & Santa Fe CM,BRAKE LIGHTS MAY MALFUNCTION,The vehicles brake lights may intermittently malfunction due to carbonisation of the contacts within the brake light switch. This can also affect other systems on the vehicle including: ESC  cruise control  gear selection (autoboxes)  engine check lamp.,Recall the vehicle that are likely to be affected to replace the brake light switch.,87795,31C017,TUCSON,KMHJN81VR7U700838,KMHJN81VR9U055367,01/05/2007,28/02/2009
05/06/2013,R/2013/056,HYUNDAI,Accent MC  Tucson JM & Santa Fe CM,BRAKE LIGHTS MAY MALFUNCTION,The vehicles brake lights may intermittently malfunction due to carbonisation of the contacts within the brake light switch. This can also affect other systems on the vehicle including: ESC  cruise control  gear selection (autoboxes)  engine check lamp.,Recall the vehicle that are likely to be affected to replace the brake light switch.,87795,31C017,SANTA FE,KMHSH81WR7U194409,KMHSH81XNBU790463,01/04/2001,31/07/2011
